(base) AFinney1~/Dev/AoC2023/day7(main|…) % ./day7p1 input.txt
hand 23AK5, bid 926, label 0, running total 926
hand 93392, bid 7, label 2, running total 90292616
hand 93669, bid 542, label 2, running total 90614022
hand 93838, bid 270, label 2, running total 90774402
hand 94KK9, bid 418, label 2, running total 91023112
hand 95859, bid 210, label 2, running total 91148272
hand 95898, bid 617, label 2, running total 91516621
hand 95QQ5, bid 567, label 2, running total 91855687
hand 95K95, bid 609, label 2, running total 92220478
hand 95A9A, bid 57, label 2, running total 92254678
hand 993KK, bid 956, label 2, running total 92829234
hand 99552, bid 660, label 2, running total 93226554
hand 99772, bid 289, label 2, running total 93400821
hand 9977Q, bid 465, label 2, running total 93681681
hand 99TTK, bid 104, label 2, running total 93744601
hand 99AA8, bid 326, label 2, running total 93942157
hand 9JQQ9, bid 353, label 2, running total 94156428
hand 9Q9Q7, bid 134, label 2, running total 94237900
hand T4T88, bid 67, label 2, running total 94278703
hand T5JT5, bid 730, label 2, running total 94724003
hand T6T99, bid 723, label 2, running total 95165756
hand T8833, bid 877, label 2, running total 95702480
hand TT44K, bid 975, label 2, running total 96300155
hand TTKK3, bid 526, label 2, running total 96623119
hand TJT33, bid 999, label 2, running total 97237504
hand TQT88, bid 172, label 2, running total 97343456
hand TK66K, bid 96, label 2, running total 97402688
hand TKTK5, bid 452, label 2, running total 97682024
hand TKK6T, bid 712, label 2, running total 98122752
hand J2KKJ, bid 893, label 2, running total 98676412
hand J4334, bid 316, label 2, running total 98872648
hand J595J, bid 682, label 2, running total 99296852
hand J6226, bid 48, label 2, running total 99326756
hand J63J3, bid 591, label 2, running total 99695540
hand J6446, bid 896, label 2, running total 100255540
hand J7667, bid 748, label 2, running total 100723788
hand J844J, bid 456, label 2, running total 101009700
hand J9669, bid 994, label 2, running total 101633932
hand JT4TJ, bid 327, label 2, running total 101839615
hand JTTKK, bid 74, label 2, running total 101886235
hand JJ2AA, bid 695, label 2, running total 102324780
hand JJAA9, bid 242, label 2, running total 102477724
hand JK7K7, bid 813, label 2, running total 102992353
hand JAQQA, bid 832, label 2, running total 103519841
hand Q3223, bid 764, label 2, running total 104004981
hand Q49Q9, bid 658, label 2, running total 104423469
hand Q4JQ4, bid 826, label 2, running total 104949631
hand Q5Q52, bid 10, label 2, running total 104956011
hand Q65Q6, bid 31, label 2, running total 104975820
hand Q664Q, bid 220, label 2, running total 105116620
hand Q667Q, bid 102, label 2, running total 105182002
hand Q73Q3, bid 633, label 2, running total 105588388
hand Q88Q3, bid 787, label 2, running total 106094429
hand Q9595, bid 667, label 2, running total 106523977
hand QJ66Q, bid 15, label 2, running total 106533652
hand QJJQA, bid 365, label 2, running total 106769442
hand QQ323, bid 434, label 2, running total 107050240
hand QQ8J8, bid 957, label 2, running total 107670376
hand QATQT, bid 339, label 2, running total 107890387
hand QAQA7, bid 631, label 2, running total 108300537
hand K282K, bid 374, label 2, running total 108544011
hand K377K, bid 28, label 2, running total 108562267
hand K4K4J, bid 17, label 2, running total 108573368
hand K4AAK, bid 656, label 2, running total 109002392
hand K533K, bid 122, label 2, running total 109082302
hand K66KJ, bid 47, label 2, running total 109113134
hand K8558, bid 46, label 2, running total 109143356
hand K9K92, bid 495, label 2, running total 109469066
hand KJJ5K, bid 100, label 2, running total 109534966
hand KQQ55, bid 232, label 2, running total 109688086
hand KQQAK, bid 180, label 2, running total 109807066
hand KQK9Q, bid 949, label 2, running total 110435304
hand KK244, bid 71, label 2, running total 110482377
hand KK644, bid 659, label 2, running total 110919953
hand KK989, bid 574, label 2, running total 111301663
hand KKQ6Q, bid 500, label 2, running total 111634663
hand KKQ8Q, bid 287, label 2, running total 111826092
hand KKQQJ, bid 736, label 2, running total 112317740
hand A2A88, bid 14, label 2, running total 112327106
hand A443A, bid 63, label 2, running total 112369316
hand A566A, bid 821, label 2, running total 112920207
hand A5A75, bid 252, label 2, running total 113089551
hand A5AJ5, bid 991, label 2, running total 113756494
hand A66A4, bid 814, label 2, running total 114305130
hand A66AQ, bid 471, label 2, running total 114623055
hand A6996, bid 192, label 2, running total 114752847
hand A744A, bid 469, label 2, running total 115070360
hand A7JA7, bid 917, label 2, running total 115692086
hand ATJAT, bid 943, label 2, running total 116332383
hand AJATJ, bid 464, label 2, running total 116647903
hand AQTAT, bid 36, label 2, running total 116672419
hand AK3KA, bid 547, label 2, running total 117045473
hand AKAJK, bid 128, label 2, running total 117132897
hand AA2Q2, bid 12, label 2, running total 117141105
hand AAT8T, bid 903, label 2, running total 117759660
hand 22237, bid 901, label 3, running total 118377746
hand 22A26, bid 355, label 3, running total 118621631
hand 23422, bid 643, label 3, running total 119064015
hand 24226, bid 576, label 3, running total 119460879
hand 26272, bid 588, label 3, running total 119866599
hand 26J22, bid 191, label 3, running total 119998580
hand 28788, bid 151, label 3, running total 120103072
hand 2J228, bid 538, label 3, running total 120475906
hand 2J232, bid 788, label 3, running total 121022778
hand 2AT22, bid 968, label 3, running total 121695538
hand 3233J, bid 301, label 3, running total 121905034
hand 33398, bid 922, label 3, running total 122547668
hand 333TQ, bid 181, label 3, running total 122674006
hand 35334, bid 376, label 3, running total 122936830
hand 36656, bid 442, label 3, running total 123246230
hand 366K6, bid 754, label 3, running total 123774784
hand 38788, bid 958, label 3, running total 124447300
hand 3933J, bid 961, label 3, running total 125122883
hand 3TTT6, bid 587, label 3, running total 125536131
hand 3QQ2Q, bid 83, label 3, running total 125594646
hand 3QQJQ, bid 429, label 3, running total 125897520
hand 3QQQ5, bid 830, label 3, running total 126484330
hand 3K933, bid 337, label 3, running total 126722926
hand 43393, bid 338, label 3, running total 126962568
hand 44438, bid 198, label 3, running total 127103148
hand 4446K, bid 309, label 3, running total 127322847
hand 444JK, bid 545, label 3, running total 127710887
hand 4494K, bid 944, label 3, running total 128383959
hand 44Q54, bid 989, label 3, running total 129090105
hand 44A84, bid 351, label 3, running total 129341070
hand 4744Q, bid 621, label 3, running total 129785706
hand 49244, bid 914, label 3, running total 130441044
hand 4J445, bid 615, label 3, running total 130882614
hand 52J22, bid 432, label 3, running total 131193222
hand 52A55, bid 162, label 3, running total 131309862
hand 53565, bid 912, label 3, running total 131967414
hand 54255, bid 785, label 3, running total 132534184
hand 54T44, bid 986, label 3, running total 133247062
hand 554J5, bid 463, label 3, running total 133582274
hand 55529, bid 184, label 3, running total 133715674
hand 555J3, bid 388, label 3, running total 133997362
hand 555K6, bid 89, label 3, running total 134062065
hand 5595J, bid 477, label 3, running total 134409321
hand 55Q5A, bid 955, label 3, running total 135105516
hand 57QQQ, bid 541, label 3, running total 135500446
hand 5QAQQ, bid 425, label 3, running total 135811121
hand 5KKJK, bid 402, label 3, running total 136105385
hand 5AKAA, bid 234, label 3, running total 136276907
hand 62444, bid 771, label 3, running total 136842821
hand 65Q55, bid 158, label 3, running total 136958951
hand 65A66, bid 964, label 3, running total 137668455
hand 66526, bid 246, label 3, running total 137849757
hand 666KA, bid 714, label 3, running total 138376689
hand 66856, bid 533, label 3, running total 138770576
hand 66J56, bid 906, label 3, running total 139441016
hand 66Q26, bid 776, label 3, running total 140016032
hand 676J6, bid 21, label 3, running total 140031614
hand 68222, bid 589, label 3, running total 140469241
hand 69T66, bid 862, label 3, running total 141110569
hand 6J626, bid 941, label 3, running total 141811614
hand 6J669, bid 920, label 3, running total 142497934
hand 6JTTT, bid 107, label 3, running total 142577863
hand 6KQQQ, bid 30, label 3, running total 142600303
hand 73AAA, bid 44, label 3, running total 142633259
hand 74424, bid 303, label 3, running total 142860509
hand 74577, bid 90, label 3, running total 142928099
hand 747Q7, bid 796, label 3, running total 143526691
hand 772Q7, bid 285, label 3, running total 143741296
hand 777T5, bid 835, label 3, running total 144370886
hand 778J7, bid 515, label 3, running total 144759711
hand 778Q7, bid 318, label 3, running total 145000119
hand 77J73, bid 900, label 3, running total 145681419
hand 7TTT4, bid 559, label 3, running total 146105141
hand 7J774, bid 629, label 3, running total 146582552
hand 7J776, bid 974, label 3, running total 147322792
hand 7J7Q7, bid 728, label 3, running total 147876800
hand 7K977, bid 806, label 3, running total 148490972
hand 7A555, bid 984, label 3, running total 149241764
hand 7A774, bid 864, label 3, running total 149901860
hand 84889, bid 704, label 3, running total 150440420
hand 85J55, bid 823, label 3, running total 151070838
hand 87333, bid 182, label 3, running total 151210432
hand 877A7, bid 582, label 3, running total 151657408
hand 882K8, bid 278, label 3, running total 151871190
hand 8848Q, bid 637, label 3, running total 152361680
hand 88528, bid 260, label 3, running total 152562140
hand 885Q8, bid 188, label 3, running total 152707276
hand 88789, bid 928, label 3, running total 153424620
hand 88853, bid 741, label 3, running total 153998154
hand 888Q2, bid 812, label 3, running total 154627454
hand 8T898, bid 433, label 3, running total 154963462
hand 8QQQ4, bid 205, label 3, running total 155122747
hand 8AAAK, bid 768, label 3, running total 155720251
hand 94QQQ, bid 43, label 3, running total 155753748
hand 95535, bid 324, label 3, running total 156006468
hand 95565, bid 843, label 3, running total 156664851
hand 95585, bid 201, label 3, running total 156822033
hand 96T99, bid 361, label 3, running total 157104696
hand 97277, bid 193, label 3, running total 157256008
hand 9899K, bid 259, label 3, running total 157459323
hand 99957, bid 168, label 3, running total 157591371
hand 99962, bid 882, label 3, running total 158285505
hand 9998Q, bid 646, label 3, running total 158794553
hand 999K5, bid 38, label 3, running total 158824535
hand 99J9T, bid 710, label 3, running total 159385435
hand 9J799, bid 653, label 3, running total 159901958
hand 9K99J, bid 778, label 3, running total 160518134
hand 9A9J9, bid 879, label 3, running total 161215181
hand T2242, bid 960, label 3, running total 161977421
hand T2TJT, bid 358, label 3, running total 162262031
hand T7767, bid 84, label 3, running total 162328895
hand T8885, bid 444, label 3, running total 162682763
hand TT94T, bid 103, label 3, running total 162764957
hand TTT5A, bid 78, label 3, running total 162827279
hand TTTA3, bid 481, label 3, running total 163212079
hand TTTAJ, bid 91, label 3, running total 163284970
hand TTKTJ, bid 450, label 3, running total 163645870
hand TJ222, bid 743, label 3, running total 164242499
hand TJ9TT, bid 507, label 3, running total 164650127
hand TKK3K, bid 810, label 3, running total 165302177
hand J2555, bid 698, label 3, running total 165864765
hand J2777, bid 797, label 3, running total 166507944
hand J3336, bid 76, label 3, running total 166569352
hand J5333, bid 786, label 3, running total 167205226
hand J6866, bid 872, label 3, running total 167911546
hand J6999, bid 595, label 3, running total 168394091
hand J6AAA, bid 707, label 3, running total 168968175
hand J888A, bid 929, label 3, running total 169723452
hand JJQAJ, bid 319, label 3, running total 169983118
hand JK7KK, bid 377, label 3, running total 170290373
hand JKTKK, bid 875, label 3, running total 171004373
hand JA9AA, bid 93, label 3, running total 171080354
hand Q22J2, bid 258, label 3, running total 171291398
hand Q3933, bid 336, label 3, running total 171566582
hand Q3999, bid 755, label 3, running total 172185682
hand Q4424, bid 530, label 3, running total 172620812
hand Q5QQJ, bid 703, label 3, running total 173198678
hand Q6J66, bid 422, label 3, running total 173545984
hand Q7JQQ, bid 936, label 3, running total 174317248
hand QJQQA, bid 535, label 3, running total 174758623
hand QQ9JQ, bid 247, label 3, running total 174962645
hand QQQ6J, bid 203, label 3, running total 175130526
hand QKJQQ, bid 124, label 3, running total 175233198
hand QAQ6Q, bid 724, label 3, running total 175833394
hand K2622, bid 427, label 3, running total 176187804
hand K3AAA, bid 572, label 3, running total 176663136
hand K6KJK, bid 350, label 3, running total 176954336
hand K7767, bid 557, label 3, running total 177418317
hand K8A88, bid 142, label 3, running total 177536745
hand KTTT3, bid 484, label 3, running total 177940885
hand KJ777, bid 995, label 3, running total 178772705
hand KK8K4, bid 185, label 3, running total 178927550
hand KK9KJ, bid 831, label 3, running total 179623928
hand KKJK8, bid 161, label 3, running total 179759007
hand KKQJK, bid 219, label 3, running total 179942967
hand KKK53, bid 780, label 3, running total 180598947
hand KKATK, bid 468, label 3, running total 180993003
hand KAQKK, bid 496, label 3, running total 181411131
hand KAKK3, bid 315, label 3, running total 181676991
hand A2QAA, bid 50, label 3, running total 181719241
hand A3AJA, bid 119, label 3, running total 181819915
hand A4464, bid 842, label 3, running total 182533089
hand A45AA, bid 657, label 3, running total 183090225
hand A4TAA, bid 308, label 3, running total 183351717
hand A6777, bid 23, label 3, running total 183371267
hand A9959, bid 277, label 3, running total 183606994
hand ATKAA, bid 945, label 3, running total 184412134
hand AJ333, bid 504, label 3, running total 184842046
hand AAJ5A, bid 354, label 3, running total 185144362
hand AAJ8A, bid 170, label 3, running total 185289712
hand AAQA4, bid 521, label 3, running total 185735688
hand AAA75, bid 155, label 3, running total 185868523
hand AAA93, bid 305, label 3, running total 186130213
hand 3AA3A, bid 701, label 4, running total 186732372
hand 44433, bid 310, label 4, running total 186998972
hand 44999, bid 804, label 4, running total 187691216
hand 45554, bid 115, label 4, running total 187790346
hand 48488, bid 279, label 4, running total 188031123
hand 4QQQ4, bid 217, label 4, running total 188218611
hand 4KKK4, bid 109, label 4, running total 188312896
hand 52525, bid 790, label 4, running total 188997036
hand 59599, bid 934, label 4, running total 189806814
hand 5TT5T, bid 759, label 4, running total 190465626
hand 66226, bid 113, label 4, running total 190563823
hand 66336, bid 734, label 4, running total 191202403
hand 66644, bid 332, label 4, running total 191491575
hand 75775, bid 195, label 4, running total 191661615
hand 77272, bid 482, label 4, running total 192082401
hand 77447, bid 359, label 4, running total 192396167
hand 79979, bid 859, label 4, running total 193147792
hand 7QQQ7, bid 845, label 4, running total 193888012
hand 83388, bid 537, label 4, running total 194358961
hand 85858, bid 250, label 4, running total 194578461
hand 87788, bid 222, label 4, running total 194773599
hand 88822, bid 395, label 4, running total 195121199
hand 8TTT8, bid 904, label 4, running total 195917623
hand 98899, bid 809, label 4, running total 196631161
hand 99922, bid 352, label 4, running total 196941977
hand T66TT, bid 583, label 4, running total 197457349
hand T99TT, bid 426, label 4, running total 197834359
hand TT44T, bid 661, label 4, running total 198420005
hand TT77T, bid 372, label 4, running total 198749969
hand TJTJT, bid 594, label 4, running total 199277441
hand TATTA, bid 683, label 4, running total 199884628
hand J55JJ, bid 531, label 4, running total 200357218
hand JJJ77, bid 174, label 4, running total 200512252
hand JQQJQ, bid 284, label 4, running total 200765580
hand Q22QQ, bid 675, label 4, running total 201368355
hand QQ55Q, bid 947, label 4, running total 202214973
hand QQ88Q, bid 421, label 4, running total 202591768
hand QQQ33, bid 519, label 4, running total 203056792
hand QQAQA, bid 811, label 4, running total 203784259
hand KJKKJ, bid 850, label 4, running total 204547559
hand KQQQK, bid 281, label 4, running total 204800178
hand KKK55, bid 85, label 4, running total 204876678
hand A55AA, bid 163, label 4, running total 205023541
hand AA77A, bid 127, label 4, running total 205138095
hand AAA22, bid 566, label 4, running total 205649193
hand 22223, bid 844, label 5, running total 206412169
hand 2222J, bid 967, label 5, running total 207287304
hand 22522, bid 490, label 5, running total 207731244
hand 27777, bid 791, label 5, running total 208448681
hand 2A222, bid 449, label 5, running total 208856373
hand 33233, bid 368, label 5, running total 209190885
hand 33337, bid 70, label 5, running total 209254585
hand 33339, bid 807, label 5, running total 209989762
hand 3333T, bid 213, label 5, running total 210184018
hand 33353, bid 98, label 5, running total 210273492
hand 33383, bid 899, label 5, running total 211095178
hand 34333, bid 880, label 5, running total 211900378
hand 39999, bid 245, label 5, running total 212124798
hand 3J333, bid 117, label 5, running total 212232087
hand 3Q333, bid 37, label 5, running total 212266053
hand 44442, bid 389, label 5, running total 212623544
hand 44448, bid 221, label 5, running total 212826864
hand 44464, bid 407, label 5, running total 213201711
hand 444Q4, bid 211, label 5, running total 213396253
hand 44544, bid 505, label 5, running total 213862368
hand 44T44, bid 868, label 5, running total 214664400
hand 48888, bid 827, label 5, running total 215429375
hand 4J444, bid 140, label 5, running total 215559015
hand 55455, bid 320, label 5, running total 215855655
hand 55535, bid 800, label 5, running total 216598055
hand 55557, bid 568, label 5, running total 217125727
hand 5555T, bid 836, label 5, running total 217903207
hand 555J5, bid 509, label 5, running total 218377086
hand 55855, bid 470, label 5, running total 218815126
hand 56555, bid 177, label 5, running total 218980267
hand 5A555, bid 32, label 5, running total 219010155
hand 62222, bid 64, label 5, running total 219069995
hand 66266, bid 297, label 5, running total 219347987
hand 66636, bid 833, label 5, running total 220128508
hand 66656, bid 417, label 5, running total 220519654
hand 66669, bid 189, label 5, running total 220697125
hand 66K66, bid 916, label 5, running total 221558165
hand 68666, bid 62, label 5, running total 221616507
hand 6J666, bid 550, label 5, running total 222134607
hand 6A666, bid 323, label 5, running total 222439196
hand 72222, bid 160, label 5, running total 222590236
hand 74444, bid 543, label 5, running total 223103371
hand 77477, bid 487, label 5, running total 223564073
hand 77776, bid 129, label 5, running total 223686236
hand 7777T, bid 312, label 5, running total 223982012
hand 7777K, bid 476, label 5, running total 224433736
hand 77797, bid 592, label 5, running total 224996136
hand 77Q77, bid 513, label 5, running total 225483999
hand 77A77, bid 29, label 5, running total 225511607
hand 79999, bid 42, label 5, running total 225551633
hand 7J777, bid 397, label 5, running total 225930371
hand 7QQQQ, bid 97, label 5, running total 226023006
hand 88288, bid 605, label 5, running total 226601386
hand 88788, bid 379, label 5, running total 226964089
hand 88838, bid 401, label 5, running total 227348247
hand 88868, bid 485, label 5, running total 227813362
hand 88J88, bid 528, label 5, running total 228320242
hand 94444, bid 459, label 5, running total 228761341
hand 99699, bid 197, label 5, running total 228950855
hand 99992, bid 765, label 5, running total 229687550
hand 99J99, bid 248, label 5, running total 229926622
hand T4TTT, bid 378, label 5, running total 230291392
hand T6666, bid 348, label 5, running total 230627560
hand T8888, bid 439, label 5, running total 231052073
hand TT5TT, bid 935, label 5, running total 231957153
hand TTT6T, bid 751, label 5, running total 232684872
hand TTTT2, bid 525, label 5, running total 233194122
hand TTTT8, bid 405, label 5, running total 233587377
hand TTTT9, bid 45, label 5, running total 233631117
hand TTJTT, bid 950, label 5, running total 234555467
hand TQTTT, bid 702, label 5, running total 235239215
hand JJJJ8, bid 226, label 5, running total 235459565
hand JKKKK, bid 670, label 5, running total 236113485
hand Q5555, bid 878, label 5, running total 236971291
hand Q5QQQ, bid 65, label 5, running total 237034861
hand Q6666, bid 699, label 5, running total 237719182
hand QJQQQ, bid 677, label 5, running total 238382642
hand QQQ9Q, bid 455, label 5, running total 238828997
hand QQQQ3, bid 335, label 5, running total 239157967
hand QQQQ6, bid 963, label 5, running total 240104596
hand QQQKQ, bid 398, label 5, running total 240496228
hand K8888, bid 317, label 5, running total 240808473
hand KQKKK, bid 894, label 5, running total 241689957
hand KKK3K, bid 437, label 5, running total 242121276
hand KKK4K, bid 77, label 5, running total 242197352
hand KKKK8, bid 263, label 5, running total 242457459
hand KKKKT, bid 108, label 5, running total 242564379
hand A8888, bid 75, label 5, running total 242638704
hand A8AAA, bid 99, label 5, running total 242736912
hand ATTTT, bid 750, label 5, running total 243481662
hand AQQQQ, bid 510, label 5, running total 243988602
hand AA3AA, bid 206, label 5, running total 244193572
hand AA4AA, bid 313, label 5, running total 244505320
hand AA5AA, bid 673, label 5, running total 245176301
hand AAAJA, bid 166, label 5, running total 245341969
hand AAAA7, bid 747, label 5, running total 246088222
hand AAAAT, bid 105, label 5, running total 246193222
total winnings: 246193222
